beads_id	phase	master_issue	title	priority	label
ZoneCNH-gg63.2.4	Phase 4	#1558	P4.3: client coverage_reporter（周期 NATS 上报）	P1	runtime-gap
ZoneCNH-gg63.2.5	Phase 4	#1559	P4.4: 删除 internal/client/history_state_postgres.go（违宪）	P1	runtime-gap
ZoneCNH-gg63.2.6	Phase 4	#1560	P4.5: cmd/binance-client/main.go 移除 postgresx 装配	P1	runtime-gap
ZoneCNH-gg63.2.7	Phase 4	#1561	P4.6: 测试覆盖（单元 + 集成）	P1	runtime-gap
ZoneCNH-gg63.3	Phase 5	#1562	[EPIC] Phase 5: P1 独立批次（5 项无依赖并行）	P1	runtime-gap
ZoneCNH-gg63.3.1	Phase 5	#1563	GAP-E32: 7 处 goroutine 加 recover 包装	P1	runtime-gap
ZoneCNH-gg63.3.2	Phase 5	#1564	GAP-E27: WebSocket SetReadLimit（OOM 保护）	P1	runtime-gap
ZoneCNH-gg63.3.3	Phase 5	#1565	GAP-E34: HTTP server 完整超时（Read/Write/Idle）	P1	runtime-gap
ZoneCNH-gg63.3.4	Phase 5	#1566	GAP-E36: ldflags 注入 buildinfo	P1	runtime-gap
ZoneCNH-gg63.3.5	Phase 5	#1567	GAP-E29: 集成 golang-migrate migration runner	P1	runtime-gap
ZoneCNH-gg63.4	Phase 6	#1568	[EPIC] Phase 6: EXCHANGEINFO symbol 分级体系	P1	runtime-gap
ZoneCNH-gg63.4.1	Phase 6	#1569	GAP-E26: interval SSOT（前置）	P1	runtime-gap
ZoneCNH-gg63.4.2	Phase 6	#1570	EXCHANGEINFO §8.3: 静态白名单 MVP（STREAM_SYMBOLS）	P1	runtime-gap
ZoneCNH-gg63.4.3	Phase 6	#1571	GAP-E24: CatalogEntry 动态分级	P1	runtime-gap
ZoneCNH-gg63.4.4	Phase 6	#1572	EXCHANGEINFO §8.1: options 独立维度（不进 Tier）	P1	runtime-gap
ZoneCNH-gg63.5	Phase 7	#1573	[EPIC] Phase 7: 数据完整性链	P1	runtime-gap
ZoneCNH-gg63.5.1	Phase 7	#1574	GAP-E2: server CompletenessScanner	P1	runtime-gap
ZoneCNH-gg63.5.2	Phase 7	#1575	GAP-E3: E2E 二向对账 + OSS checksum	P1	runtime-gap
ZoneCNH-gg63.5.3	Phase 7	#1576	GAP-E10: catalog diff NATS pub/sub	P1	runtime-gap
ZoneCNH-gg63.5.4	Phase 7	#1577	GAP-E12: AckWait 30s → 5min + backfill 小批次	P1	runtime-gap
ZoneCNH-gg63.5.5	Phase 7	#1578	GAP-E17: server time.Now().UTC() 强制	P1	runtime-gap
ZoneCNH-gg63.5.6	Phase 7	#1579	GAP-E18: TDengine 部分成功捕获	P1	runtime-gap
ZoneCNH-gg63.5.7	Phase 7	#1580	GAP-E19: PayloadHash server 重算（漏洞链 #1 同 PR）	P1	runtime-gap
ZoneCNH-gg63.5.8	Phase 7	#1581	GAP-E28: PG 事务管理	P1	runtime-gap
ZoneCNH-gg63.6	Phase 8	#1582	[EPIC] Phase 8: P2+P3 治理与长尾	P2	runtime-gap
ZoneCNH-gg63.6.1	Phase 8	#1583	8.1 可观测性补强（E9+E30+E35）	P2	runtime-gap
ZoneCNH-gg63.6.2	Phase 8	#1584	8.2 安全加固（E37+E44+E45）	P2	runtime-gap
ZoneCNH-gg63.6.3	Phase 8	#1585	8.3 部署治理（E41~E50）	P2	runtime-gap
ZoneCNH-gg63.6.4	Phase 8	#1586	8.4 Schema 演进（E8+E19+E23）	P2	runtime-gap
ZoneCNH-gg63.6.5	Phase 8	#1587	8.5 配置治理（E31+E4）	P2	runtime-gap
ZoneCNH-gg63.6.6	Phase 8	#1588	8.6 容错与韧性（E11+E16+E33）	P2	runtime-gap
ZoneCNH-gg63.6.7	Phase 8	#1589	8.7 优雅运行（E14+E15+E20+E22）	P2	runtime-gap
ZoneCNH-gg63.6.8	Phase 8	#1590	8.8 测试与质量（E21+E40）	P2	runtime-gap
ZoneCNH-gg63.6.9	Phase 8	#1591	8.9 长尾低优（E38+E39）	P3	runtime-gap
ZoneCNH-gg63.6.10	Phase 8	#1592	8.10 P3 治理文档批次（E51~E58）	P3	runtime-gap
