beads_id	phase	github_number	title	priority
ZoneCNH-gg63.4.2	Phase 6	#380	EXCHANGEINFO §8.3: 静态白名单 MVP（STREAM_SYMBOLS）	P1
ZoneCNH-gg63.4.3	Phase 6	#381	GAP-E24: CatalogEntry 动态分级（Tier/SymbolPriority/Collection）	P1
ZoneCNH-gg63.4.4	Phase 6	#382	EXCHANGEINFO §8.1: options 独立维度（不进 Tier）	P1
ZoneCNH-gg63.5	Phase 7	—	[EPIC] Phase 7: 数据完整性链（漏洞链 #1/#2/#4/#5/#14）	P1
ZoneCNH-gg63.5.1	Phase 7	#383	GAP-E2: server CompletenessScanner	P1
ZoneCNH-gg63.5.2	Phase 7	#384	GAP-E3: E2E 二向对账 + OSS checksum	P1
ZoneCNH-gg63.5.3	Phase 7	#385	GAP-E10: catalog diff NATS pub/sub	P1
ZoneCNH-gg63.5.4	Phase 7	#386	GAP-E12: AckWait 30s → 5min + backfill 小批次	P1
ZoneCNH-gg63.5.5	Phase 7	#387	GAP-E17: server time.Now().UTC() 强制	P1
ZoneCNH-gg63.5.6	Phase 7	#388	GAP-E18: TDengine 部分成功捕获（不重投）	P1
ZoneCNH-gg63.5.7	Phase 7	#389	GAP-E28: PG 事务管理（多步写入原子性）	P1
ZoneCNH-gg63.6	Phase 8	—	[EPIC] Phase 8: P2+P3 治理与长尾（38 项 + 顶层文档）	P2
ZoneCNH-gg63.6.1	Phase 8	#390	8.1 可观测性补强（E9+E30+E35）	P2
ZoneCNH-gg63.6.2	Phase 8	#391	8.2 安全加固（E37+E44+E45）	P2
ZoneCNH-gg63.6.3	Phase 8	#392	8.3 部署治理（E41~E50）	P2
ZoneCNH-gg63.6.4	Phase 8	#393	8.4 Schema 演进（E8+E19+E23）	P2
ZoneCNH-gg63.6.5	Phase 8	#394	8.5 配置治理（E31+E4）	P2
ZoneCNH-gg63.6.6	Phase 8	#395	8.6 容错与韧性（E11+E16+E33）	P2
ZoneCNH-gg63.6.7	Phase 8	#396	8.7 优雅运行（E14+E15+E20+E22）	P2
ZoneCNH-gg63.6.8	Phase 8	#397	8.8 测试与质量（E21+E40）	P2
ZoneCNH-gg63.6.9	Phase 8	#398	8.9 长尾低优（E38+E39）	P3
ZoneCNH-gg63.6.10	Phase 8	#399	8.10 P3 治理文档批次（E51~E58）	P3
